order_id,customer_id,customer_name,region,product,category,quantity,unit_price,discount_pct,order_date,ship_date,sales_rep,channel,returned,customer_rating,ship_days,revenue,month,quarter
ORD-00001,CUST-052,JetStream,North,Headphones,Accessories,13,149.99,0.0,2022-01-01,2022-01-03,Carol White,Direct Sales,False,5.0,2,1949.8700000000001,2022-01,2022Q1
ORD-00002,CUST-093,CloudNine,South,Tablet Max,Wearables,13,399.99,10.0,2022-01-02,2022-01-07,Bob Smith,Partner,False,5.0,5,4679.883,2022-01,2022Q1
ORD-00003,CUST-015,EagleEye,Unknown,Tablet Max,Mobile,2,999.99,15.0,2022-01-03,2022-01-05,Dave Brown,Partner,False,5.0,2,1699.983,2022-01,2022Q1
ORD-00004,CUST-072,FusionWorks,West,Smartphone SE,Mobile,2,1299.99,0.0,2022-01-04,2022-01-07,Eve Davis,In-Store,False,3.0,3,2599.98,2022-01,2022Q1
ORD-00005,CUST-061,InnovateCo,North,Tablet Mini,Computers,13,1299.99,20.0,2022-01-05,2022-01-08,Carol White,Direct Sales,False,5.0,3,13519.896,2022-01,2022Q1
ORD-00006,CUST-021,EagleEye,West,Smartphone X,Accessories,5,299.99,0.0,2022-01-06,2022-01-10,Eve Davis,Direct Sales,False,,4,1499.95,2022-01,2022Q1
ORD-00007,CUST-083,Acme Corp,West,Monitor,Mobile,4,599.99,10.0,2022-01-07,2022-01-13,Carol White,Partner,False,5.0,6,2159.964,2022-01,2022Q1
ORD-00008,CUST-087,DeltaLogic,West,Tablet Max,Accessories,11,149.99,5.0,2022-01-08,2022-01-10,Eve Davis,Direct Sales,False,4.0,2,1567.3955,2022-01,2022Q1
ORD-00009,CUST-075,EagleEye,West,Smartphone X,Mobile,2,299.99,15.0,2022-01-09,2022-01-13,Dave Brown,Direct Sales,False,4.0,4,509.983,2022-01,2022Q1
ORD-00010,CUST-075,JetStream,West,Laptop Pro,Wearables,3,999.99,5.0,2022-01-10,2022-01-12,Bob Smith,Direct Sales,False,5.0,2,2849.9715,2022-01,2022Q1
ORD-00011,CUST-088,JetStream,North,Keyboard,Wearables,7,299.99,20.0,2022-01-11,2022-01-15,Dave Brown,In-Store,True,4.0,4,1679.9440000000004,2022-01,2022Q1
ORD-00012,CUST-100,EagleEye,North,Tablet Mini,Mobile,8,599.99,15.0,2022-01-12,2022-01-15,Alice Johnson,Direct Sales,False,2.0,3,4079.932,2022-01,2022Q1
ORD-00013,CUST-024,GlobalEdge,East,Laptop Lite,Wearables,12,399.99,10.0,2022-01-13,2022-01-18,Bob Smith,Online,False,4.0,5,4319.892,2022-01,2022Q1
ORD-00014,CUST-003,DeltaLogic,Unknown,Smartphone X,Mobile,13,299.99,15.0,2022-01-14,2022-01-21,Dave Brown,In-Store,False,5.0,7,3314.8894999999998,2022-01,2022Q1
ORD-00015,CUST-022,Acme Corp,South,Laptop Pro,Wearables,6,199.99,15.0,2022-01-15,2022-01-19,Alice Johnson,Direct Sales,False,5.0,4,1019.9490000000001,2022-01,2022Q1
ORD-00016,CUST-053,EagleEye,East,Monitor,Computers,11,199.99,0.0,2022-01-16,2022-01-18,Carol White,Direct Sales,False,3.0,2,2199.8900000000003,2022-01,2022Q1
ORD-00017,CUST-002,GlobalEdge,West,Headphones,Computers,5,999.99,5.0,2022-01-17,2022-01-19,Carol White,Online,True,,2,4749.952499999999,2022-01,2022Q1
ORD-00018,CUST-088,JetStream,East,Laptop Lite,Computers,13,2499.99,25.0,2022-01-18,2022-01-25,Eve Davis,In-Store,False,4.0,7,24374.902499999997,2022-01,2022Q1
ORD-00019,CUST-030,JetStream,West,Headphones,Accessories,1,299.99,0.0,2022-01-19,2022-01-25,Bob Smith,Partner,False,5.0,6,299.99,2022-01,2022Q1
ORD-00020,CUST-038,FusionWorks,Unknown,Monitor,Accessories,8,1299.99,15.0,2022-01-20,2022-01-23,Carol White,Partner,False,5.0,3,8839.932,2022-01,2022Q1
ORD-00021,CUST-002,EagleEye,East,Laptop Pro,Computers,3,599.99,0.0,2022-01-21,2022-01-23,Bob Smith,In-Store,False,5.0,2,1799.97,2022-01,2022Q1
ORD-00022,CUST-064,DeltaLogic,East,Tablet Max,Accessories,6,2499.99,0.0,2022-01-22,2022-01-23,Carol White,Direct Sales,False,,1,14999.939999999999,2022-01,2022Q1
ORD-00023,CUST-060,BrightTech,South,Headphones,Wearables,3,299.99,10.0,2022-01-23,2022-01-28,Eve Davis,Direct Sales,False,4.0,5,809.9730000000001,2022-01,2022Q1
ORD-00024,CUST-021,DeltaLogic,East,Laptop Lite,Mobile,7,1299.99,5.0,2022-01-24,2022-01-28,Dave Brown,Partner,False,5.0,4,8644.9335,2022-01,2022Q1
ORD-00025,CUST-033,JetStream,South,Smartphone SE,Mobile,13,299.99,10.0,2022-01-25,2022-01-31,Eve Davis,Partner,False,3.0,6,3509.883,2022-01,2022Q1
ORD-00027,CUST-058,CloudNine,East,Smartphone X,Computers,7,2499.99,0.0,2022-01-27,2022-02-01,Carol White,Online,False,5.0,5,17499.93,2022-01,2022Q1
ORD-00028,CUST-022,JetStream,North,Tablet Max,Accessories,12,2499.99,10.0,2022-01-28,2022-01-31,Alice Johnson,Partner,False,5.0,3,26999.892,2022-01,2022Q1
ORD-00029,CUST-089,Acme Corp,North,Headphones,Wearables,9,599.99,20.0,2022-01-29,2022-02-04,Alice Johnson,Online,False,3.0,6,4319.928,2022-01,2022Q1
ORD-00030,CUST-049,HorizonAI,East,Keyboard,Wearables,5,149.99,15.0,2022-01-30,2022-02-03,Bob Smith,In-Store,False,5.0,4,637.4575,2022-01,2022Q1
ORD-00031,CUST-091,EagleEye,South,Smartphone X,Computers,8,999.99,10.0,2022-01-31,2022-02-04,Carol White,Direct Sales,False,3.0,4,7199.928,2022-01,2022Q1
ORD-00032,CUST-059,DeltaLogic,South,Smartphone SE,Wearables,10,599.99,0.0,2022-02-01,2022-02-08,Alice Johnson,Partner,False,2.0,7,5999.9,2022-02,2022Q1
ORD-00033,CUST-042,HorizonAI,West,Monitor,Wearables,10,2499.99,10.0,2022-02-02,2022-02-03,Dave Brown,Direct Sales,True,5.0,1,22499.91,2022-02,2022Q1
ORD-00034,CUST-092,GlobalEdge,West,Smartwatch,Wearables,8,199.99,0.0,2022-02-03,2022-02-10,Alice Johnson,Direct Sales,False,4.0,7,1599.92,2022-02,2022Q1
ORD-00035,CUST-060,BrightTech,North,Laptop Pro,Wearables,1,599.99,25.0,2022-02-04,2022-02-07,Dave Brown,Partner,False,5.0,3,449.9925,2022-02,2022Q1
ORD-00036,CUST-080,Acme Corp,Unknown,Smartphone SE,Accessories,12,199.99,20.0,2022-02-05,2022-02-11,Bob Smith,Partner,False,4.0,6,1919.9040000000002,2022-02,2022Q1
ORD-00037,CUST-015,DeltaLogic,East,Smartphone SE,Wearables,5,149.99,15.0,2022-02-06,2022-02-12,Alice Johnson,In-Store,True,3.0,6,637.4575,2022-02,2022Q1
ORD-00038,CUST-062,HorizonAI,West,Monitor,Mobile,3,999.99,25.0,2022-02-07,2022-02-09,Eve Davis,Online,False,5.0,2,2249.9775,2022-02,2022Q1
ORD-00039,CUST-062,BrightTech,East,Tablet Mini,Computers,1,199.99,0.0,2022-02-08,2022-02-09,Bob Smith,Online,False,4.0,1,199.99,2022-02,2022Q1
ORD-00040,CUST-047,CloudNine,Unknown,Monitor,Accessories,4,2499.99,15.0,2022-02-09,2022-02-10,Dave Brown,Direct Sales,False,3.0,1,8499.965999999999,2022-02,2022Q1
ORD-00041,CUST-062,Acme Corp,West,Tablet Mini,Wearables,8,149.99,5.0,2022-02-10,2022-02-16,Bob Smith,Partner,False,5.0,6,1139.924,2022-02,2022Q1
ORD-00042,CUST-051,Acme Corp,West,Tablet Mini,Accessories,3,299.99,25.0,2022-02-11,2022-02-17,Alice Johnson,In-Store,False,4.0,6,674.9775,2022-02,2022Q1
ORD-00043,CUST-055,CloudNine,West,Tablet Max,Wearables,10,149.99,0.0,2022-02-12,2022-02-17,Carol White,In-Store,False,5.0,5,1499.9,2022-02,2022Q1
ORD-00044,CUST-064,EagleEye,North,Tablet Max,Mobile,2,2499.99,15.0,2022-02-13,2022-02-18,Carol White,In-Store,False,4.0,5,4249.982999999999,2022-02,2022Q1
ORD-00045,CUST-003,CloudNine,North,Laptop Lite,Computers,11,1299.99,20.0,2022-02-14,2022-02-19,Dave Brown,In-Store,False,5.0,5,11439.912,2022-02,2022Q1
ORD-00046,CUST-051,Acme Corp,West,Headphones,Wearables,9,599.99,0.0,2022-02-15,2022-02-16,Dave Brown,In-Store,False,5.0,1,5399.91,2022-02,2022Q1
ORD-00047,CUST-007,Acme Corp,East,Headphones,Wearables,10,599.99,5.0,2022-02-16,2022-02-18,Carol White,Online,False,5.0,2,5699.905,2022-02,2022Q1
ORD-00048,CUST-021,HorizonAI,West,Laptop Pro,Wearables,5,999.99,15.0,2022-02-17,2022-02-21,Dave Brown,Online,False,2.0,4,4249.9574999999995,2022-02,2022Q1
ORD-00049,CUST-073,JetStream,North,Headphones,Wearables,14,599.99,5.0,2022-02-18,2022-02-23,Bob Smith,Online,False,5.0,5,7979.867,2022-02,2022Q1
ORD-00050,CUST-039,BrightTech,East,Tablet Max,Computers,7,1299.99,0.0,2022-02-19,2022-02-21,Eve Davis,Partner,False,5.0,2,9099.93,2022-02,2022Q1
ORD-00051,CUST-018,CloudNine,South,Laptop Lite,Computers,11,599.99,0.0,2022-02-20,2022-02-27,Eve Davis,Direct Sales,False,5.0,7,6599.89,2022-02,2022Q1
ORD-00052,CUST-004,BrightTech,East,Laptop Lite,Mobile,11,199.99,0.0,2022-02-21,2022-02-24,Bob Smith,In-Store,False,4.0,3,2199.8900000000003,2022-02,2022Q1
ORD-00053,CUST-089,CloudNine,East,Tablet Mini,Computers,2,399.99,20.0,2022-02-22,2022-02-27,Eve Davis,Partner,False,5.0,5,639.984,2022-02,2022Q1
ORD-00054,CUST-060,GlobalEdge,East,Monitor,Wearables,9,2499.99,10.0,2022-02-23,2022-03-02,Alice Johnson,In-Store,False,5.0,7,20249.918999999998,2022-02,2022Q1
ORD-00055,CUST-014,Acme Corp,East,Laptop Pro,Mobile,13,599.99,0.0,2022-02-24,2022-02-28,Bob Smith,Online,False,2.0,4,7799.87,2022-02,2022Q1
ORD-00056,CUST-009,JetStream,East,Tablet Mini,Mobile,9,2499.99,5.0,2022-02-25,2022-02-28,Dave Brown,Partner,False,4.0,3,21374.914499999995,2022-02,2022Q1
ORD-00058,CUST-053,JetStream,West,Headphones,Wearables,4,1299.99,0.0,2022-02-27,2022-03-03,Carol White,In-Store,False,1.0,4,5199.96,2022-02,2022Q1
ORD-00059,CUST-002,JetStream,North,Tablet Mini,Accessories,6,299.99,5.0,2022-02-28,2022-03-05,Dave Brown,In-Store,False,,5,1709.943,2022-02,2022Q1
ORD-00061,CUST-092,BrightTech,East,Headphones,Computers,10,199.99,5.0,2022-03-02,2022-03-06,Dave Brown,In-Store,False,5.0,4,1899.905,2022-03,2022Q1
ORD-00062,CUST-060,CloudNine,West,Monitor,Computers,10,299.99,15.0,2022-03-03,2022-03-07,Eve Davis,Online,False,3.0,4,2549.915,2022-03,2022Q1
ORD-00063,CUST-071,InnovateCo,East,Laptop Pro,Wearables,6,199.99,0.0,2022-03-04,2022-03-08,Bob Smith,In-Store,False,3.0,4,1199.94,2022-03,2022Q1
ORD-00065,CUST-008,DeltaLogic,Unknown,Tablet Mini,Mobile,1,299.99,10.0,2022-03-06,2022-03-08,Dave Brown,Direct Sales,False,4.0,2,269.99100000000004,2022-03,2022Q1
ORD-00066,CUST-047,JetStream,South,Tablet Mini,Wearables,14,399.99,10.0,2022-03-07,2022-03-14,Dave Brown,Online,False,5.0,7,5039.874000000001,2022-03,2022Q1
ORD-00067,CUST-035,EagleEye,North,Smartphone SE,Mobile,14,299.99,10.0,2022-03-08,2022-03-09,Carol White,Partner,False,4.0,1,3779.8740000000007,2022-03,2022Q1
ORD-00068,CUST-078,BrightTech,South,Laptop Pro,Computers,9,399.99,10.0,2022-03-09,2022-03-14,Eve Davis,In-Store,False,3.0,5,3239.919,2022-03,2022Q1
ORD-00069,CUST-081,HorizonAI,South,Keyboard,Mobile,2,299.99,20.0,2022-03-10,2022-03-15,Carol White,Direct Sales,False,1.0,5,479.98400000000004,2022-03,2022Q1
ORD-00070,CUST-036,DeltaLogic,East,Headphones,Wearables,5,599.99,10.0,2022-03-11,2022-03-18,Carol White,In-Store,False,4.0,7,2699.955,2022-03,2022Q1
ORD-00071,CUST-050,InnovateCo,Unknown,Laptop Lite,Computers,9,999.99,10.0,2022-03-12,2022-03-14,Eve Davis,In-Store,False,,2,8099.919,2022-03,2022Q1
ORD-00072,CUST-004,EagleEye,North,Laptop Pro,Accessories,4,1299.99,20.0,2022-03-13,2022-03-17,Alice Johnson,Partner,False,4.0,4,4159.968,2022-03,2022Q1
ORD-00073,CUST-002,InnovateCo,North,Laptop Lite,Mobile,11,2499.99,10.0,2022-03-14,2022-03-15,Carol White,Direct Sales,False,4.0,1,24749.901,2022-03,2022Q1
ORD-00074,CUST-006,DeltaLogic,South,Laptop Pro,Computers,3,999.99,0.0,2022-03-15,2022-03-20,Carol White,In-Store,False,4.0,5,2999.9700000000003,2022-03,2022Q1
ORD-00075,CUST-054,JetStream,West,Laptop Pro,Mobile,7,2499.99,0.0,2022-03-16,2022-03-23,Dave Brown,Direct Sales,False,4.0,7,17499.93,2022-03,2022Q1
ORD-00076,CUST-004,EagleEye,East,Monitor,Computers,6,399.99,0.0,2022-03-17,2022-03-23,Eve Davis,Online,False,4.0,6,2399.94,2022-03,2022Q1
ORD-00077,CUST-054,InnovateCo,North,Laptop Pro,Computers,8,999.99,25.0,2022-03-18,2022-03-25,Bob Smith,Online,False,5.0,7,5999.9400000000005,2022-03,2022Q1
ORD-00078,CUST-093,HorizonAI,Unknown,Smartphone SE,Mobile,3,199.99,15.0,2022-03-19,2022-03-24,Alice Johnson,In-Store,True,4.0,5,509.97450000000003,2022-03,2022Q1
ORD-00079,CUST-063,CloudNine,West,Keyboard,Accessories,5,2499.99,25.0,2022-03-20,2022-03-24,Alice Johnson,Direct Sales,False,4.0,4,9374.9625,2022-03,2022Q1
ORD-00080,CUST-018,Acme Corp,North,Tablet Mini,Computers,10,999.99,10.0,2022-03-21,2022-03-27,Eve Davis,In-Store,False,3.0,6,8999.91,2022-03,2022Q1
ORD-00081,CUST-090,CloudNine,West,Smartwatch,Computers,4,299.99,5.0,2022-03-22,2022-03-24,Dave Brown,Direct Sales,False,,2,1139.962,2022-03,2022Q1
ORD-00082,CUST-044,DeltaLogic,West,Laptop Lite,Computers,13,399.99,0.0,2022-03-23,2022-03-24,Dave Brown,Direct Sales,False,3.0,1,5199.87,2022-03,2022Q1
ORD-00083,CUST-034,BrightTech,South,Tablet Mini,Accessories,4,2499.99,10.0,2022-03-24,2022-03-26,Eve Davis,Partner,False,2.0,2,8999.964,2022-03,2022Q1
ORD-00084,CUST-074,Acme Corp,North,Smartwatch,Accessories,4,149.99,10.0,2022-03-25,2022-03-27,Dave Brown,Partner,False,5.0,2,539.964,2022-03,2022Q1
ORD-00085,CUST-062,GlobalEdge,North,Keyboard,Wearables,10,149.99,0.0,2022-03-26,2022-04-02,Alice Johnson,Partner,False,5.0,7,1499.9,2022-03,2022Q1
ORD-00086,CUST-100,HorizonAI,North,Keyboard,Mobile,8,599.99,0.0,2022-03-27,2022-03-28,Alice Johnson,In-Store,False,4.0,1,4799.92,2022-03,2022Q1
ORD-00087,CUST-014,GlobalEdge,West,Laptop Lite,Accessories,6,599.99,10.0,2022-03-28,2022-03-29,Bob Smith,Partner,False,4.0,1,3239.946,2022-03,2022Q1
ORD-00089,CUST-048,Acme Corp,North,Keyboard,Wearables,10,299.99,10.0,2022-03-30,2022-04-04,Carol White,Online,False,3.0,5,2699.9100000000003,2022-03,2022Q1
ORD-00090,CUST-015,GlobalEdge,North,Smartwatch,Mobile,5,399.99,10.0,2022-03-31,2022-04-01,Carol White,Direct Sales,False,5.0,1,1799.9550000000002,2022-03,2022Q1
ORD-00091,CUST-072,GlobalEdge,North,Laptop Pro,Accessories,6,199.99,15.0,2022-04-01,2022-04-07,Bob Smith,Direct Sales,True,5.0,6,1019.9490000000001,2022-04,2022Q2
ORD-00092,CUST-078,InnovateCo,North,Headphones,Mobile,5,999.99,0.0,2022-04-02,2022-04-05,Bob Smith,Partner,False,4.0,3,4999.95,2022-04,2022Q2
ORD-00093,CUST-087,CloudNine,West,Smartphone X,Accessories,6,599.99,15.0,2022-04-03,2022-04-08,Dave Brown,Direct Sales,False,4.0,5,3059.949,2022-04,2022Q2
ORD-00094,CUST-062,InnovateCo,South,Tablet Mini,Mobile,8,999.99,10.0,2022-04-04,2022-04-07,Bob Smith,Online,False,3.0,3,7199.928,2022-04,2022Q2
ORD-00095,CUST-040,Acme Corp,South,Monitor,Accessories,7,199.99,25.0,2022-04-05,2022-04-12,Bob Smith,Online,False,5.0,7,1049.9475,2022-04,2022Q2
ORD-00096,CUST-085,Acme Corp,North,Tablet Mini,Accessories,5,399.99,20.0,2022-04-06,2022-04-12,Carol White,Partner,False,4.0,6,1599.96,2022-04,2022Q2
ORD-00097,CUST-080,DeltaLogic,East,Monitor,Mobile,10,299.99,5.0,2022-04-07,2022-04-08,Dave Brown,Online,False,4.0,1,2849.9049999999997,2022-04,2022Q2
ORD-00098,CUST-082,InnovateCo,South,Smartwatch,Wearables,6,999.99,0.0,2022-04-08,2022-04-14,Bob Smith,Direct Sales,True,5.0,6,5999.9400000000005,2022-04,2022Q2
ORD-00099,CUST-053,FusionWorks,West,Monitor,Computers,14,999.99,0.0,2022-04-09,2022-04-14,Bob Smith,In-Store,False,,5,13999.86,2022-04,2022Q2
ORD-00100,CUST-024,CloudNine,North,Laptop Lite,Wearables,4,399.99,10.0,2022-04-10,2022-04-12,Dave Brown,Direct Sales,False,4.0,2,1439.9640000000002,2022-04,2022Q2
ORD-00101,CUST-026,Acme Corp,West,Headphones,Mobile,12,299.99,25.0,2022-04-11,2022-04-18,Eve Davis,In-Store,False,5.0,7,2699.91,2022-04,2022Q2
ORD-00102,CUST-089,DeltaLogic,East,Headphones,Wearables,9,399.99,0.0,2022-04-12,2022-04-13,Dave Brown,Partner,False,4.0,1,3599.91,2022-04,2022Q2
ORD-00103,CUST-060,InnovateCo,North,Laptop Lite,Accessories,13,2499.99,10.0,2022-04-13,2022-04-17,Carol White,In-Store,False,2.0,4,29249.882999999998,2022-04,2022Q2
ORD-00104,CUST-041,CloudNine,South,Smartphone SE,Computers,4,149.99,20.0,2022-04-14,2022-04-21,Eve Davis,Online,False,3.0,7,479.9680000000001,2022-04,2022Q2
ORD-00105,CUST-029,InnovateCo,Unknown,Smartwatch,Mobile,1,2499.99,25.0,2022-04-15,2022-04-18,Alice Johnson,Direct Sales,False,4.0,3,1874.9924999999998,2022-04,2022Q2
ORD-00107,CUST-045,DeltaLogic,East,Smartphone SE,Mobile,7,2499.99,15.0,2022-04-17,2022-04-18,Carol White,Direct Sales,False,1.0,1,14874.9405,2022-04,2022Q2
ORD-00108,CUST-065,CloudNine,East,Tablet Mini,Computers,4,299.99,10.0,2022-04-18,2022-04-25,Eve Davis,Partner,False,5.0,7,1079.9640000000002,2022-04,2022Q2
ORD-00109,CUST-089,JetStream,Unknown,Keyboard,Accessories,13,1299.99,0.0,2022-04-19,2022-04-25,Dave Brown,Partner,False,5.0,6,16899.87,2022-04,2022Q2
ORD-00110,CUST-071,EagleEye,East,Tablet Mini,Mobile,14,149.99,10.0,2022-04-20,2022-04-21,Bob Smith,Online,False,5.0,1,1889.8740000000003,2022-04,2022Q2
ORD-00111,CUST-009,EagleEye,North,Keyboard,Wearables,3,399.99,10.0,2022-04-21,2022-04-26,Dave Brown,Partner,False,3.0,5,1079.973,2022-04,2022Q2
ORD-00112,CUST-088,CloudNine,Unknown,Smartphone X,Mobile,8,1299.99,25.0,2022-04-22,2022-04-29,Alice Johnson,In-Store,False,2.0,7,7799.9400000000005,2022-04,2022Q2
ORD-00113,CUST-001,InnovateCo,North,Monitor,Mobile,5,599.99,5.0,2022-04-23,2022-04-28,Dave Brown,Partner,False,2.0,5,2849.9525,2022-04,2022Q2
ORD-00114,CUST-008,DeltaLogic,East,Keyboard,Mobile,10,1299.99,0.0,2022-04-24,2022-05-01,Eve Davis,Online,False,5.0,7,12999.9,2022-04,2022Q2
ORD-00115,CUST-088,EagleEye,North,Laptop Lite,Mobile,7,1299.99,0.0,2022-04-25,2022-04-30,Eve Davis,Direct Sales,False,5.0,5,9099.93,2022-04,2022Q2
ORD-00116,CUST-063,DeltaLogic,North,Tablet Mini,Accessories,4,149.99,5.0,2022-04-26,2022-05-02,Dave Brown,Direct Sales,True,4.0,6,569.962,2022-04,2022Q2
ORD-00117,CUST-011,EagleEye,South,Smartwatch,Wearables,4,599.99,5.0,2022-04-27,2022-05-01,Eve Davis,Partner,False,2.0,4,2279.962,2022-04,2022Q2
ORD-00119,CUST-008,InnovateCo,South,Smartphone X,Wearables,14,299.99,5.0,2022-04-29,2022-05-06,Dave Brown,Online,False,4.0,7,3989.867,2022-04,2022Q2
ORD-00120,CUST-035,GlobalEdge,North,Keyboard,Mobile,8,299.99,25.0,2022-04-30,2022-05-05,Bob Smith,In-Store,False,4.0,5,1799.94,2022-04,2022Q2
ORD-00121,CUST-035,EagleEye,North,Smartphone X,Computers,2,1299.99,0.0,2022-05-01,2022-05-02,Bob Smith,Online,False,5.0,1,2599.98,2022-05,2022Q2
ORD-00122,CUST-033,JetStream,East,Smartwatch,Accessories,14,999.99,10.0,2022-05-02,2022-05-09,Carol White,Partner,False,5.0,7,12599.874000000002,2022-05,2022Q2
ORD-00123,CUST-005,JetStream,Unknown,Smartphone SE,Computers,2,199.99,25.0,2022-05-03,2022-05-08,Dave Brown,Online,False,2.0,5,299.985,2022-05,2022Q2
ORD-00125,CUST-028,JetStream,East,Smartwatch,Mobile,12,999.99,10.0,2022-05-05,2022-05-10,Bob Smith,Partner,False,,5,10799.892000000002,2022-05,2022Q2
